review_id,user_id,business_id,stars,useful,text,date,source
KU_O5udG6zpxOg-VcAEodg,mh_-eMZ6K5RLWhZyISBhwA,XQfwVwDr-v0ZS3_CbbE5Xw,3.0,0,"if you decide to eat here, just be aware it is going to take about 2 hours from beginning to end. we have tried it multiple times, because i want to like it! i have been to it's other locations in nj and never had a bad experience. the food is good, but it takes a very long time to come out. the waitstaff is very young, but usually pleasant. we have just had too many experiences where we spent way too long waiting. we usually opt for another diner or restaurant on the weekends, in order to be done quicker.",2018-07-07 22:09:11,yelp
6AxgBCNX_PNTOxmbRSwcKQ,r3zeYsv1XFBRA4dJpL78cw,gmjsEdUsKpj9Xxu6pdjH0g,5.0,0,"loved this tour! i grabbed a groupon and the price was great. it was the perfect way to explore new orleans for someone who'd never been there before and didn't know a lot about the history of the city. our tour guide had tons of interesting tidbits about the city, and i really enjoyed the experience. highly recommended tour. i actually thought we were just going to tour through the cemetery, but she took us around the french quarter for the first hour, and the cemetery for the second half of the tour. you'll meet up in front of a grocery store (seems strange at first, but it's not terribly hard to find, and it'll give you a chance to get some water), and you'll stop at a visitor center part way through the tour for a bathroom break if needed. this tour was one of my favorite parts of my trip!",2015-01-03 23:21:18,yelp
_ZeMknuYdlQcUqng_Im3yg,yfFzsLmaWF2d4Sr0UNbBgg,LHSTtnW3YHCeUkRDGyJOyw,5.0,2,"amazingly amazing wings and homemade bleu cheese. had the ribeye: tender, perfectly prepared, delicious. nice selection of craft beers. would definitely recommend checking out this hidden gem.",2015-08-07 02:29:16,yelp
ZKvDG2sBvHVdF5oBNUOpAQ,wSTuiTk-sKNdcFyprzZAjg,B5XSoSG3SfvQGtKEGQ1tSQ,3.0,1,this easter instead of going to lopez lake we went to los padres national forest which is really pretty but if you go to white rock the staff needs to cut down all the dead grass that invades the rock and the water. i would wish the staff would also clean or get rid of the dead grass that's also living by the water. the water is really green and dirty. los padres national forest staff need to work hard to maintain this forest looking pretty and not like a dumpster. even cachuma lake looks like they put a bit more effort.,2016-03-30 22:46:33,yelp
l3Wk_mvAog6XANIuGQ9C7Q,ZbqSHbgCjzVAqaa7NKWn5A,EQ-TZ2eeD_E0BHuvoaeG5Q,4.0,0,"locals recommended milktooth, and it's an amazing jewel of indianapolis. i'm glade i had the chance to experience this.",2015-08-19 14:31:45,yelp
XW_LfMv0fV21l9c6xQd_lw,9OAtfnWag-ajVxRbUTGIyg,lj-E32x9_FA7GmUrBGBEWg,4.0,0,love going here for happy hour or dinner! great patio with fans to beat the stl heat! also...very accomodating at this location. i like the veal milanese but with mixed greens instead of pasta! they'll modify the menu to suit your taste!,2014-06-27 22:44:01,yelp
UBp0zWyH60Hmw6Fsasei7w,4Uh27DgGzsp6PqrH913giQ,otQS34_MymijPTdNBoBdCw,4.0,0,"the bun makes the sonoran dog. it's like a snuggie for the pup. a first, it seems ridiculous and almost like it's going to be too much, exactly like everyone's favorite blanket with sleeves. too much softness, too much smush, too indulgent. wrong. it's warm, soft, chewy, fragrant, and it succeeds where other famed sonoran dogs fail. the hot dog itself is flavorful, but i would prefer that it or the bacon have a little more bite or snap to better hold their own against the dominant mustard and onions. i'm with the masses on the carne asada caramelo. excellent tortilla, salty, melty cheese, and great carne. super cheap and you can drive through.",2011-10-27 17:12:05,yelp
OAhBYw8IQ6wlfw1owXWRWw,1C2lxzUo1Hyye4RFIXly3g,BVndHaLihEYbr76Z0CMEGw,5.0,0,"great place for breakfast! i had the waffle, which was fluffy and perfect, and home fries which were nice and smashed and crunchy. friendly waitstaff. will definitely be back!",2014-10-11 16:22:06,yelp
LnGZB0fjfgeVDVz5IHuEVA,j2wlzrntrbKwyOcOiB3l3w,rBdG_23USc7DletfZ11xGA,4.0,1,"the hubby and i have been here on multiple occasions and we have loved every part of the meal, every single time. everyone from the servers to the bartender is very knowledgable about the menu and was able to immediately recommend items i could eat as-is, substitute or delete to make something safe for this celiac girl to eat. the wine and cocktail menus are spot on. the food divine. my only wish is that they would have a gluten-free dessert, we've always had to go elsewhere for something sweet. but that is not a big deal and i still want to go here time and time again.",2014-08-10 19:41:43,yelp
u2vzZaOqJ2feRshaaF1doQ,NDZvyYHTUWWu-kqgQzzDGQ,CLEWowfkj-wKYJlQDqT1aw,5.0,2,"i go to blow bar to get my brows done by natalie (brow specialist) which i highly recommend she is great does a great job on my eyebrows! but then i got a blow by victoria!! wow i was impress i have thin, straight, dead hair and she left me with the biggest volume ive ever had!!! tried another girl but didnt like it as much so victoria will be my girl for ever; very beautiful clean place!!!",2016-03-07 00:02:18,yelp
Xs8Z8lmKkosqW5mw_sVAoA,IQsF3Rc6IgCzjVV9DE8KXg,eFvzHawVJofxSnD7TgbZtg,5.0,0,"my absolute favorite cafe in the city. their black and white latte is probably the best i've ever had (not too sweet and just the right amount of foam), soups are always really good (even for non-soup people) and there's just a lot of space to do work. the noise level is perfect, the music is at a perfect level, and i always enjoy when patrons bring their dogs. i'll keep giving them my business for as long as i can.",2014-11-12 15:30:27,yelp
vBK79c3_1Ff_oqkh5VpfGg,Ohhrhu1RkqfVciIVx_W5HQ,nRKndeZLQ3eDL10UMwS2rQ,5.0,2,holy smokes! actual pumpkin pie mixed in with the frozen custard......are you kidding me? why hasn't this become a huge sweep the nation treat. the best part was the chunks of pie crust. like finding a diamond inside another diamond. super yummy.,2009-10-13 19:49:51,yelp
J-4NdnDZ0pUQaUEEwDI9KQ,vrKkXsozqqecF3CW4cGaVQ,rjuWz_AD3WfXJc03AhIO_w,5.0,2,i thoroughly enjoyed the show. chill way to spend a friday night.,2012-12-04 16:46:20,yelp
eCiWBf1CJ0Zdv1uVarEhhw,OhECKhQEexFypOMY6kypRw,vC2qm1y3Au5czBtbhc-DNw,4.0,0,"yes, this is the only sushi place in town. however, it is great when you're craving sushi and don't have time to go somewhere else. the salmon is probably the best fish they have, so we always order salmon. we also love their spicy edamame, tempura, ocean salad, and cabbage salad. service has always been friendly and quick!",2013-09-04 03:48:20,yelp
lUUhg8ltDsUZ9h0xnwY4Dg,RreNy--tOmXMl1en0wiBOg,cPepkJeRMtHapc_b2Oe_dw,4.0,1,"i was really between 3 and 4 stars for this one. i love the 96th street naked tchopstix so i was very excited to see this one which is closer to my house. the vibe is totally different as this is geared more to take out although they do have a decent size dining area. you order at the counter and they deliver it. my daughter and i tried the sushi bowl. you pick up a piece of paper and select from a choice of proteins, vegetables, rice and toppings. i like the fact that it is on paper and you don't have to guess what things are or have to shout over the counter to tell the server what you want. the sushi bowl was good but not wonderful. the choices particularly of the vegetables seemed a little too limiting and i felt i had more rice than other food items. the sauces were tasty. my husband ordered the maui roll which is my favorite roll at the 96th street location and this just was not up that standard. it was good but the quality and consistently was not as good as at 96th street. i would go back though and i think a lot of people would be happy with the sushi bowls. i do want to make a comment about the low reviews that people have given the place because of service. people - it is a sushi place - it isn't mcdonalds- so it will be a bit slower. you are not going to order and get out of there in five minutes even though it is called express. as a healthy alternative to fast food in the area, it is worth the wait. oh and try the bubble tea. i had the strawberry and it was quite yummy. next time i am going to try the vanilla chai.",2018-07-17 03:30:07,yelp
qS6kE7CDoDagyPZwmueJaQ,zoBajEyVA0z4IjbFsMJksg,c-IgS6Pk6vMyax7Rbr38eA,4.0,0,went for lunch. beef brisket sandwich was awesome. so juicy and tender. pulled pork was was just as good!,2015-06-08 19:45:48,yelp
G_5UczbCBJriUAbxz3J7Tw,clWLI5OZP2ad25ugMVI8gg,x4XdNhp0Xn8lOivzc77J-g,5.0,0,best thai food in the area. everything was authentic and delicious. will definitely be back again and again.,2013-08-15 15:27:51,yelp
elqRpX9T3YwL07uLNtN3Bg,-sryo4gDYxbZ1T5Bz4l5Bw,ltBBYdNzkeKdCNPDAsxwAA,2.0,0,"i at least have to give this restaurant two stars due to the decent food. but while on a dinner meeting and after spending $100 on entres and appetizers, i had to flag down the assistant cook, (the guy in bright red baggy pants watching tv), to see if i could get more avocado for my tuna entre. he made it very apparent and direct that he could not help me with that situation and i would have to flag down my waitress so she could bill me for the four dollar avocado.",2015-02-02 04:29:13,yelp
-P5E9BYUaK7s3PwBF5oAyg,Jha0USGDMefGFRLik_xFQg,bMratNjTG5ZFEA6hVyr-xQ,5.0,0,first time there and it was excellent!!! it feels like your are entering someone's home. the waiters there funny and nice. the food come out very quickly and it is phenomenal!!! definitely will be going back to this place.,2017-02-19 13:32:05,yelp
